================================================================================================================================================================
1年级8个单元完整文章汇总
================================================================================================================================================================

单元         | 周          | 天          | 主题                                  | 文章列表
----------------------------------------------------------------------------------------------------------------------------------------------------------------
第1单元     | 第1周    | 第1天    | 天地之间真奇妙                             | 天地人；三字经（选段）；生字开花
第1单元     | 第1周    | 第2天    | 五行朋友真有趣                             | 小兔子运萝卜；绕口令：小猪和老虎；学说一句话：谁干什么
第1单元     | 第1周    | 第3天    | 大自然里找颜色                             | 小彩笔；画；词语小宝库
第1单元     | 第1周    | 第4天    | 五行本领大                               | 金木水火土；谜语：猜猜我是谁；好习惯小明星
第1单元     | 第1周    | 第5天    | 身体的小秘密                              | 小猴子捞月亮；弟子规（选读）；奇思妙想屋
第1单元     | 第1周    | 第6天    | 可爱的小手小脚                             | 小手小脚；珍惜时间的小明；生字开花
第1单元     | 第2周    | 第1天    | 看一看，摸一摸                             | 口耳手足；绕口令：扁担长；词语小宝库
第1单元     | 第2周    | 第2天    | 小小身体大用处                             | 小花猫洗脸；咏鹅；好习惯小明星
第1单元     | 第2周    | 第3天    | 日月星空亮晶晶                             | 小星星；谜语：猜物体；学说一句话：什么时候，谁在哪儿干什么
第1单元     | 第2周    | 第4天    | 高山流水真好看                             | 日月山川；声律启蒙（节选一）；生字开花
第1单元     | 第2周    | 第5天    | 好朋友，手拉手                             | 小羊过桥；绕口令：小溪水；词语小宝库
第1单元     | 第2周    | 第6天    | 爱读书的好宝宝                             | 快乐读书吧；静夜思；俗语（小知识）
第2单元     | 第3周    | 第1天    | 单韵母娃娃来了                             | 小嘴巴，圆又圆；三字经（选段）；认读生字
第2单元     | 第3周    | 第2天    | 小猫捉老鼠                               | 小花猫钓鱼；绕口令：小猪；学说一句话：什么像什么
第2单元     | 第3周    | 第3天    | 秋天的景色                               | 秋娃娃；登鹳雀楼；词语小宝库
第2单元     | 第3周    | 第4天    | 小嘴巴，说儿歌                             | 韵母歌；谜语：猜猜我是谁；好习惯小明星
第2单元     | 第3周    | 第5天    | 我有一个好妈妈                             | 小猴子爬山；弟子规（选读）；奇思妙想屋
第2单元     | 第3周    | 第6天    | 小嘴巴，爱说话                             | 学说话；爱问问题的小红；认读生字
第2单元     | 第4周    | 第1天    | 声母好朋友（b p m f）                      | 声母宝宝练习；绕口令：画和花；词语小宝库
第2单元     | 第4周    | 第2天    | 爱动脑筋的宝宝                             | 小兔子盖房子；春晓；好习惯小明星
第2单元     | 第4周    | 第3天    | 小嘴巴，找朋友                             | 下雨歌；谜语：猜动物；学说一句话：什么时候，谁在哪儿干什么
第2单元     | 第4周    | 第4天    | 声母好朋友（d t n l）                      | 声母宝宝练习；声律启蒙（节选二）；认读生字
第2单元     | 第4周    | 第5天    | 小蜜蜂采花蜜                              | 勤劳的小蜜蜂；绕口令：小喇叭；词语小宝库
第2单元     | 第4周    | 第6天    | 美丽的大自然                              | 小雨点；悯农；智慧小口诀
第3单元     | 第5周    | 第1天    | 声母g k h                             | 小猴子爬山；三字经（选段）；生字开花
第3单元     | 第5周    | 第2天    | 声母j q x                             | 小鸡找朋友；小妞妞；学说一句话：谁在哪儿干什么
第3单元     | 第5周    | 第3天    | 夏日池塘边                               | 小青蛙；风；词语小宝库
第3单元     | 第5周    | 第4天    | 声母z c s                             | 小兔子坐下；谜语：红红脸庞；好习惯小明星
第3单元     | 第5周    | 第5天    | 分享的快乐                               | 小兔的白菜；孝敬父母；奇思妙想屋
第3单元     | 第5周    | 第6天    | 舌尖后音zh ch sh r                      | 小手绢；勤奋小口诀）；生字开花
第3单元     | 第6周    | 第1天    | 绕口令小专家                              | 小舌头练习；绕口令：四是四；词语小宝库
第3单元     | 第6周    | 第2天    | 声母y w                               | 小鱼回家；画；好习惯小明星
第3单元     | 第6周    | 第3天    | 彩虹桥弯弯                               | 我爱我家；谜语：弯弯的桥；学说一句话：什么时候，谁在家里干什么
第3单元     | 第6周    | 第4天    | 知识小积累                               | 学认汉字（复习字词）；小对歌；生字开花
第3单元     | 第6周    | 第5天    | 友爱的小马                               | 小马帮小鸟；绕口令：黑灰化肥；词语小宝库
第3单元     | 第6周    | 第6天    | 高楼与远方                               | 小花与小草；古朗月行（节选）；智慧小口诀
第4单元     | 第7周    | 第1天    | 小小船儿开（ai ei ui）                     | 小船开来了；三字经（选段）；生字开花
