================================================================================================================================================================
3年级8个单元完整文章汇总
================================================================================================================================================================

单元         | 周          | 天          | 主题                                  | 文章列表
----------------------------------------------------------------------------------------------------------------------------------------------------------------
第1单元     | 第1周    | 第1天    | 彩色的校园                               | 大青树下的小学（节选一）；雨后的校园；所见；日积月累
第1单元     | 第1周    | 第2天    | 花朵的舞会                               | 花的学校（节选一）；风和太阳；弟子规（衣冠篇）；日积月累
第1单元     | 第1周    | 第3天    | 勇敢提问                                | 问号（选读）；什么颜色的风；司马光砸缸；日积月累
第1单元     | 第1周    | 第4天    | 有趣的课堂                               | 不懂就要问（节选）；森林学校；乌鸦喝水；日积月累
第1单元     | 第1周    | 第5天    | 快乐的课间                               | 大青树下的小学（节选二）；小池；弟子规（谨篇）；日积月累
第1单元     | 第1周    | 第6天    | 想象的世界                               | 云房子（节选）；龟兔赛跑；星星和花；日积月累
第1单元     | 第2周    | 第1天    | 大自然的语言                              | 大青树下的小学（复习）；秋天的声音（选读）；孔融让梨；日积月累
第1单元     | 第2周    | 第2天    | 小小观察家                               | 花的学校（复习）；小马过河；绝句；日积月累
第1单元     | 第2周    | 第3天    | 魔法修辞课                               | 爬山虎的脚（选段）；不懂就要问（复习）；弟子规（日常篇）；日积月累
第1单元     | 第2周    | 第4天    | 奇妙的歌声                               | 瀑布（节选）；不莱梅的音乐家；如果我是一片雪花；日积月累
第1单元     | 第2周    | 第5天    | 神奇的古代故事                             | 花的学校（复习）；搭船的鸟（节选）；曹冲称象；日积月累
第1单元     | 第2周    | 第6天    | 美丽的风景                               | 大青树下的小学（复习）；海边的孩子；山行；日积月累
第2单元     | 第3周    | 第1天    | 秋天的调色盘                              | 秋天的雨（节选一）；金色的秋天；望洞庭；日积月累
第2单元     | 第3周    | 第2天    | 落叶的联想                               | 铺满金色巴掌的水泥道（节选一）；狐狸和乌鸦；弟子规（借物篇）；日积月累
第2单元     | 第3周    | 第3天    | 听觉的盛宴                               | 雨的旋律；秋风娃娃；王戎辨李；日积月累
第2单元     | 第3周    | 第4天    | 快乐的小水洼                              | 铺满金色巴掌的水泥道（节选二）；秋天的夜晚；披着羊皮的狼；日积月累
第2单元     | 第3周    | 第5天    | 童年的趣事                               | 夜书所见；枫桥夜泊；弟子规（诚信篇）；日积月累
