================================================================================================================================================================
6年级8个单元完整文章汇总
================================================================================================================================================================

单元         | 周          | 天          | 主题                                  | 文章列表
----------------------------------------------------------------------------------------------------------------------------------------------------------------
第1单元     | 第1周    | 第1天    | 草原旷景                                | 草原（节选，景色描绘）；天山景物记（节选）；敕勒歌；好词
第1单元     | 第1周    | 第2天    | 解开心结                                | 丁香结（节选，感悟哲理）；愚公移山（节选）；论语（节选，论学习）；好段落
第1单元     | 第1周    | 第3天    | 想象之翼                                | 荷塘月色（节选）；纸船——寄母亲；薛谭学讴（节选）；写作技巧：开头
第1单元     | 第1周    | 第4天    | 风雨诗情                                | 六月二十七日望湖楼醉书；雨的四季（节选，夏雨）；精卫填海；写作技巧：结尾
第1单元     | 第1周    | 第5天    | 花之哲思                                | 花之歌（节选，花的使命）；苔；孟子（节选，恻隐之心）；八字成语 | 名言
第1单元     | 第1周    | 第6天    | 田园野趣                                | 呼兰河传（节选，后花园）；伯牙绝弦；村夜；歇后语 | 谚语
第1单元     | 第2周    | 第1天    | 羁旅愁思                                | 宿建德江；乡愁（节选）；郑人买履；好词
第1单元     | 第2周    | 第2天    | 月夜清音                                | 西江月·夜行黄沙道中；嫦娥奔月；枫桥夜泊；好段落
第1单元     | 第2周    | 第3天    | 变形奇遇                                | 昆虫记（节选，蝉的变形）；草原（节选，主客联欢）；朱子家训（节选）；修辞手法
第1单元     | 第2周    | 第4天    | 想象之翼                                | 金色花（节选）；夸父追日；我想；修辞手法
第1单元     | 第2周    | 第5天    | 淳朴民风                                | 草原（节选，蒙汉情深）；边城（节选，端午习俗）；曾子杀猪；描写手法
第1单元     | 第2周    | 第6天    | 生活感悟                                | 目送（节选）；过故人庄；匆匆（节选）；描写手法
第2单元     | 第3周    | 第1天    | 红军不怕远征难                             | 七律·长征；可爱的中国（节选）；过零丁洋；好词
第2单元     | 第3周    | 第2天    | 英雄气概                                | 狼牙山五壮士（节选）；大禹治水；孟子·告子上（节选）；好词
第2单元     | 第3周    | 第3天    | 心中的光                                | 灯光（节选）；萤火虫；精卫填海；好词
第2单元     | 第3周    | 第4天    | 大国风采                                | 开国大典（节选）；安塞腰鼓（节选）；苏武牧羊；好词
第2单元     | 第3周    | 第5天    | 清白在人间                               | 灯光（节选，牺牲）；石灰吟；论语·述而（节选）；好词
第2单元     | 第3周    | 第6天    | 生命与追求                               | 紫藤萝瀑布（节选）；夸父逐日；纸船——寄母亲；好词
第2单元     | 第4周    | 第1天    | 意志如钢                                | 我的战友邱少云（节选）；珠穆朗玛峰的攀登（素材）；列子·汤问（节选·愚公移山）；好词
第2单元     | 第4周    | 第2天    | 语言的力量                               | 口语交际：演讲（回顾）；毛遂自荐；出塞；好词
第2单元     | 第4周    | 第3天    | 生活的滋味                               | 风筝（节选）；开国大典（节选，阅兵）；朱子家训（节选）；好词
第2单元     | 第4周    | 第4天    | 信念的丰碑                               | 丰碑（节选）；勾践尝胆；一代人；好词
第2单元     | 第4周    | 第5天    | 细节见真章                               | 狼牙山五壮士（节选，顶峰）；荷塘月色（节选）；韩非子·难一（自相矛盾）；好词
第2单元     | 第4周    | 第6天    | 铭记与前行                               | 七律·长征（回顾）；匆匆（节选）；夏日绝句；好词
第3单元     | 第5周    | 第1天    | 探索微观与格局                             | 竹节人（节选，结构与动态）；白马湖的鸟（节选，细致观察）；望岳；好词
第3单元     | 第5周    | 第2天    | 智慧与求知格局                             | 宇宙生命的谜（节选，排除与推测）；夸父追日（神话传说）；论语（节选，格局）；好段落
